Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAPC1005X55N,1,0.1uF,
"C2, C4, C5",CAPC1005X55N,3,1uF,
"C3, C6, C7",CAPC1608X90N,3,10uF,
IC1,SOIC127P600X175-8N,1,ATTINY402-SSNR,
IC2,SOP50P490X110-10N,1,PAM8906M1018-13,
IC3,SOT95P270X145-5N,1,MCP73831T-2ACI_OT,
J1,MC-306LS-H50,1,MC-306LS-H50,
L1,INDC2016X95N,1,SRN2009T-R47M,
LED1,18-225A R6GHC-A01 3T,1,18-225A/R6GHC-A01/3T,
LED2,LEDC1608X80N,1,TEST LED,
LS1,XDCR_CPT-1762-90-SMT-TR,1,CPT-1762-90-SMT-TR,
"R1, R3",RESC1005X40N,2,5.1K,
"R2, R5, R6",RESC1005X40N,3,100 Ohms,
R4,RESC1005X40N,1,10K,
S1,436331045822,1,SIDE SWITCH,
TP1,TestPoint_Pad_2.5x2.5mm,1,UPDI,
TP2,TestPoint_Pad_2.5x2.5mm,1,VCC,
TP3,TestPoint_Pad_3.0x3.0mm,1,GND,
U1,CONN02_781710002_MOL,1,Molex: 781710002,
