Designator,Mid X,Mid Y,Rotation,Layer
C1,140.33,-115.294173,90.0,top
C2,143.14,-112.144173,270.0,top
C3,137.36,-109.524173,270.0,top
C4,138.56,-109.864173,270.0,top
C5,138.55,-111.824173,90.0,top
C6,141.540002,-82.854169,90.0,top
C7,140.119998,-82.854169,270.0,top
IC1,148.025002,-108.204175,90.0,top
IC2,140.92,-111.054173,90.0,top
IC3,137.12,-83.5142,180.0,top
J1,151.004176,-95.944199,90.0,bottom
L1,142.67,-115.584173,180.0,top
LED1,151.474172,-89.914196,0.0,bottom
LS1,142.17,-95.9042,90.0,top
R1,145.320001,-82.884174,90.0,top
R2,145.330001,-85.404174,90.0,top
R3,144.089999,-82.884175,90.0,top
R4,142.850001,-82.884174,270.0,top
S1,133.4422,-104.3049,290.0,top
U1,138.72,-93.4242,0.0,bottom
