Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAPC1005X55N,1,0.1uF 0402B104K160CT,
"C2, C4, C5",CAPC1005X55N,3,1uF GRM155R61E105KA12D,
"C3, C6, C7",CAPC1608X90N,3,10uF GRM188R61E106MA73D,
IC1,SOIC127P600X175-8N,1,ATTINY402-SSNR,
IC2,SOP50P490X110-10N,1,PAM8906M1018-13,
IC3,SOT95P270X145-5N,1,MCP73831T-2ACI_OT,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J3,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
J4,S2BPHSM4TBLFSN,1,S2B-PH-SM4-TB_LF__SN_,
L1,INDC2016X95N,1,SRN2009T-R47M,
LED1,LEDC1608X80N,1,150060VS75000,
"R1, R3",RESC1005X40N,2,5.1KOhm,
R2,RESC1005X40N,1,100 Ohms,
R4,RESC1005X40N,1,10K Ohm,
S1,436331045822,1,436331045822,
X1,SD-CPT-1404-85T,1,CPT-1404-85T,
